id	source	kind	description	expected	acceptance	producer	evidence	status	deviation
BIOACTIVITY-003	main:p5:results-2.1.3	claim	Assay sensitivity ordering and fold differences	Morphology > MT > cell count > LDH; among 121 compounds morphology POD is 1.8-fold, 3.9-fold, and 7.0-fold lower respectively	close: ordering is preserved, shared-compound count is similar, and fold differences remain broadly comparable	2_downstream_analysis/manuscript_notebooks/1_3_compare_pods.ipynb	evidence/bioactivity-and-figure-2b-d.md	reproduced-with-deviation	Ordering holds; published 121-compound folds are 1.79, 4.28, and 8.15, while current direction-aware 131-compound folds are 1.68, 3.87, and 7.41.
FIG-2D	main:p4:figure-2d	figure	POD comparison across morphology and cytotoxicity assays	Published paired comparison for 121 compounds with all four PODs	qualitative: same sensitivity ordering and similar paired distributions; exact plotted points are not required	2_downstream_analysis/manuscript_notebooks/1_3_compare_pods.ipynb	evidence/bioactivity-and-figure-2b-d.md	reproduced-with-deviation	Published Table S4 has 121 complete hits after a null-ID join excludes 15 rows; current direction-aware data have 131 and preserve distributions, paired ordering, and significance.
TABLE-1	main:p5:table-1	table	Regression prediction of paired LDH and MT readouts	Published R2, RMSE, and MAE means and standard deviations across six input-feature or baseline rows per assay	close: schemas and labels are exact; rounded metrics are close and preserve comparison conclusions	2_downstream_analysis/manuscript_notebooks/2_1_predict_continuous_assays.ipynb	evidence/regression-and-figure-s2.md	reproduced-with-deviation	Schemas, labels, and ten splits agree; 51 of 72 mean or SD entries match at two significant figures, with maximum absolute mean drift 0.00849 R2, 0.000990 RMSE, and 0.000428 MAE
REGRESSION-001	main:p5-p6:results-2.2.1	claim	Relative regression performance across representations and baselines	Representations perform similarly; Cell Painting beats the technical baseline for MT but not LDH	qualitative: significance and performance ordering conclusions agree	2_downstream_analysis/manuscript_notebooks/2_1_predict_continuous_assays.ipynb	evidence/regression-and-figure-s2.md	reproduced-with-deviation	Practical similarity and MT-versus-LDH ordering hold; LDH MAE has small significant DINO differences and formally favors the technical baseline
REGRESSION-002	main:p5:results-2.2.1	claim	LDH model versus replicate performance	Cell Painting or technical baseline R2 exceeds replicate R2 by mean 0.20 with p < 1e-14	close: effect remains positive and near 0.20 with a clearly significant result	2_downstream_analysis/manuscript_notebooks/2_1_predict_continuous_assays.ipynb	evidence/regression-and-figure-s2.md	reproduced-with-deviation	Current pooled effect is 0.203758 with two-sided equal-variance independent t-test p = 1.88446e-14; distinct 966-compound model and 1,085-compound replicate split universes are documented
TABLE-2	main:p6:table-2	table	Binary LDH and MT classifier performance	Published AUROC and PRAUC values for cell count, random, CellProfiler, CP-CNN, and DINO rows	close: keys and labels are exact; rounded metrics are close and all main performance conclusions agree	2_downstream_analysis/manuscript_notebooks/3_2_0_assay_metrics.ipynb	evidence/classifier-and-table-2.md	reproduced-with-deviation	Both compiled and current layers match 19 of 20 entries at two decimals; compiled DINO MT AUROC is 0.875945 and current DINO MT PRAUC is 0.832443; the caption says ten splits while code pools five folds
CLASSIFIER-001	main:p6:results-2.2.2	claim	Paired LDH classifier performance	Mean AUROC about 0.93 and PRAUC about 0.75; Cell Painting beats baselines	close: values remain near published magnitude and Cell Painting still beats both baselines	2_downstream_analysis/manuscript_notebooks/3_2_0_assay_metrics.ipynb	evidence/classifier-and-table-2.md	reproduced-with-deviation	Current LDH morphology means are 0.932625 AUROC and 0.753212 PRAUC and all representations beat both baselines; split-count, keyed-universe, and localized DINO MT deviations are documented
ENRICH-001	main:p6:results-2.3	claim	Targets among wells better predicted by Cell Painting	About 138 wells and 480 enriched targets, including cell cycle, PI3K-Akt, MAPK, and p53 signals	close: comparable hit-list scale and the same major pathway interpretation; exact hits and FDR values may drift	2_downstream_analysis/manuscript_notebooks/2_1_predict_continuous_assays.ipynb	evidence/prediction-error-enrichment.md	blocked	Code maps the Cell Painting label to 304 historical and 292 current Higher wells with 178 and 839 significant target sets; the 480 result and pathway mapping are absent, and signed residuals do not establish better prediction
ENRICH-002	main:p6:results-2.3	claim	Targets among wells better predicted by the technical baseline	About 304 wells with no significantly enriched targets	close: hit-list scale is comparable and the no-enrichment conclusion holds	2_downstream_analysis/manuscript_notebooks/2_1_predict_continuous_assays.ipynb	evidence/prediction-error-enrichment.md	blocked	No enrichment holds for the 138 historical and 134 current Lower wells labeled technical baseline, while the 304 and 292 Higher wells are labeled Cell Painting and enriched; no source layer satisfies both acceptance conditions
ENRICH-003	main:p6-p7:results-2.3	claim	Higher morphology-predicted than observed MT cases	261 wells enriched for 147 proteins, including CYPs, neurotransmitter receptors, and xenobiotic transporters	qualitative: similar discrepancy group and the same broad biological target classes; individual members may differ	2_downstream_analysis/manuscript_notebooks/2_2_outlier_enrichment_analysis.ipynb	evidence/mt-discrepancy-enrichment.md	reproduced-with-deviation	The committed 261-well artifact has 147 significant sets spanning CYPs, HTR neurotransmitter receptors, and xenobiotic transporters; the current 262-well rerun has 71 sets, retaining six CYPs and three transporters but no significant HTR set, so the rerun alone misses one accepted class
ENRICH-004	main:p6-p7:results-2.3	claim	Lower morphology-predicted than observed MT cases	131 wells enriched for proteasome inhibition, xenobiotic metabolism, bile acid synthesis, cell stress, and apoptosis	qualitative: similar discrepancy group and the same broad biological processes	2_downstream_analysis/manuscript_notebooks/2_2_outlier_enrichment_analysis.ipynb	evidence/mt-discrepancy-enrichment.md	reproduced-with-deviation	The current rerun selects 142 wells and 143 significant sets, retaining 15 proteasome and two CYP sets; carfilzomib and three process mappings remain unsupported
TOXCAST-001	main:p7:results-3	claim	OASIS and ToxCast overlap	963 tested compounds, or 89 percent, overlap ToxCast	close: same overlap definition and count within ordinary source-version drift	2_downstream_analysis/manuscript_notebooks/3_1_toxcast_endpoints.ipynb	evidence/toxcast-curation-and-figure-s3.md	reproduced-with-deviation	The stored 963-ID union gives 88.755760 percent of 1085, but it is not intersected with tested metadata; only 670 tested IDs overlap the pinned ToxCast union
TOXCAST-002	main:p7:results-3.1	claim	Curated ToxCast endpoint counts	48 cytotoxicity, 292 non-cytotoxicity cell-based, and 72 cell-free endpoints	exact: endpoint category keys and counts agree for the pinned input	2_downstream_analysis/manuscript_notebooks/3_1_toxcast_endpoints.ipynb	evidence/toxcast-curation-and-figure-s3.md	reproduced-with-deviation	Source metadata have 48, 292, and 72 exact keys, but class support retains 38 cytotoxicity keys and enforcing the stated 100 uM rule would reduce cell-based endpoints to 291
TOXCAST-003	main:p7:results-3.1	claim	ToxCast endpoint composition and activity summaries	Published tissue, target-family, overlap, and active-fraction summaries for cell-based and cell-free endpoints	close: proportions and rankings remain broadly comparable; record source-version changes	2_downstream_analysis/manuscript_notebooks/3_1_toxcast_endpoints.ipynb	evidence/toxcast-curation-and-figure-s3.md	reproduced-with-deviation	All displayed values and rankings match; family percentages use all 292 cell-based endpoints and cytotoxicity medians use the 38 post-support endpoints rather than all 48 source categories
FIG-3AB	main:p8:figure-3a-b	figure	AUROC and PRAUC distributions across assay types	Paired MT and LDH perform best, followed by ToxCast cytotoxicity and cell-based assays, with cell-free assays near random	qualitative: same assay-type ordering and broadly similar distributions; no pixel match required	2_downstream_analysis/manuscript_notebooks/3_2_1_compare_endpoint_types.ipynb	evidence/classifier-results.md	reproduced-with-deviation	Ordering and distributions agree, but caption counts 48/292/72 are source counts rather than the 34/267/53 modeled endpoint counts
FIG-3C	main:p8:figure-3c	figure	Classifier differences from random and cell-count baselines	Morphology improves cytotoxicity and cell-based prediction over random; cell-free prediction does not materially improve	qualitative: effect directions and main significance conclusions agree	2_downstream_analysis/manuscript_notebooks/3_2_1_compare_endpoint_types.ipynb	evidence/classifier-results.md	reproduced-with-deviation	Matched effects support the conclusion, but the panel mixes endpoint universes and tests and the six-row cell-free PRAUC mixed model does not converge
FILTER-001	main:p7:results-3.2.1	claim	Filtering to bioactive concentrations	AUROC increases about 0.04 for ToxCast cytotoxicity and 0.02 for cell-based assays; other AUROC and all PRAUC comparisons show no material improvement	close: small improvements remain small and the overall no-practical-improvement conclusion holds	2_downstream_analysis/manuscript_notebooks/3_2_2_compare_concs_reps.ipynb	evidence/classifier-results.md	reproduced-with-deviation	Compiled/current AUROC effects are 0.0386/0.0374 and 0.0194/0.0203, but the published FDR values do not reproduce from the committed notebook
FILTER-002	main:p7:results-3.2.1	claim	Filtering out cytotoxic concentrations	Performance worsens for cytotoxicity categories and does not improve cell-based or cell-free prediction	qualitative: effect directions and no-improvement conclusion agree	2_downstream_analysis/manuscript_notebooks/3_2_2_compare_concs_reps.ipynb	evidence/classifier-results.md	reproduced-with-deviation	Cytotoxicity performance worsens and other effects remain negligible, with expected numerical drift in POD-derived strategies
FIG-4A	main:p9:figure-4a	figure	Classifier AUROC across concentration consensus strategies	All-concentration profiles perform as well as or better than filtered alternatives overall	qualitative: same practical conclusion and similar assay-type patterns	2_downstream_analysis/manuscript_notebooks/3_2_2_compare_concs_reps.ipynb	evidence/classifier-results.md	reproduced-with-deviation	Distribution directions and the practical conclusion agree, but modeled endpoint counts differ from captions and POD-filtered values drift
REPRESENTATION-001	main:p7:results-3.2.2	claim	Alternative image representations	Representations perform similarly; DINO cell-based AUROC is about 0.02 higher than CellProfiler and CP-CNN	close: performance remains similar overall and any DINO advantage stays small	2_downstream_analysis/manuscript_notebooks/3_2_3_compare_endpoints_detail.ipynb; 2_downstream_analysis/manuscript_notebooks/3_2_2_compare_concs_reps.ipynb	evidence/classifier-results.md	reproduced-with-deviation	DINO median advantages are 0.0221 and 0.0159, but mean effects are about 0.011 and published p-values do not reproduce
FIG-4B	main:p9:figure-4b	figure	Classifier AUROC across CellProfiler, CP-CNN, and DINO	Published representation distributions are very similar within assay types	qualitative: same near-equivalence and assay-type ordering; no pixel match required	2_downstream_analysis/manuscript_notebooks/3_2_3_compare_endpoints_detail.ipynb; 2_downstream_analysis/manuscript_notebooks/3_2_2_compare_concs_reps.ipynb	evidence/classifier-results.md	reproduced-with-deviation	Near-equivalence and ordering agree, with one small ToxCast cytotoxicity Tukey contrast at p = 0.0493
SFIG-1	supp:p2:figure-s1	figure	Representative Cell Painting image	Plate 41002889, well L12, site 6; representative of 191754 images including 43641 DMSO controls	close: plate, well, site, DMSO identity, and five-channel content agree exactly; inventory drift is acceptable only when measured directly from the current joined index and tied to a documented missing selection rule	paper/render_sfig1.py; 2_downstream_analysis/other_notebooks/Plot_images.ipynb	evidence/figure-s1.md	reproduced-with-deviation	The exact DMSO field and five channels resolve and render; the current joined index has 318828 fields including 72519 DMSO fields, while the published counts imply an undocumented nine-site selection rule
SFIG-2	supp:p3:figure-s2	figure	Technical factors and paired-assay prediction diagnostics	Well-position effects, normalized readout distributions, and DINO similarity clustergram support the technical-factor interpretation	qualitative: same major spatial and cell-count patterns; exact clustering order is not required	2_downstream_analysis/manuscript_notebooks/2_1_predict_continuous_assays.ipynb; 2_downstream_analysis/other_notebooks/01_checkwelleffects.ipynb	evidence/regression-and-figure-s2.md	reproduced-with-deviation	All panel directions and major patterns hold; current base selects 292 versus camera-ready text n = 138, and the notebook label is a signed-residual threshold rather than a formal significance test
SFIG-3	supp:p4:figure-s3	figure	ToxCast binarization and cytotoxicity patterns	Published binarization procedure and broad cell-line and tissue cytotoxicity clusters	qualitative: same procedure, category coverage, and major clustered patterns	2_downstream_analysis/manuscript_notebooks/3_1_toxcast_endpoints.ipynb	evidence/toxcast-curation-and-figure-s3.md	reproduced-with-deviation	The 12-cell and 6-tissue heatmaps preserve broad concordance and selective patterns; the image is labeled B and C while the supplemental legend incorrectly says C and D
SFIG-4	supp:p5:figure-s4	figure	Classifier PRAUC across concentration and image representations	Filtering and representation comparisons do not materially improve PRAUC	qualitative: same no-material-improvement conclusion and similar distributions	2_downstream_analysis/manuscript_notebooks/3_2_2_compare_concs_reps.ipynb; 2_downstream_analysis/manuscript_notebooks/3_2_3_compare_endpoints_detail.ipynb	evidence/classifier-results.md	reproduced-with-deviation	PRAUC shows no practical improvement, while POD-filtered values drift and small unadjusted representation tests differ from Tukey results
TABLE-S1	supp:table-s1	table	OASIS compound list	Published compound identities and annotations used to define the study library	exact: stable compound identifiers and tested-library membership agree; annotation-only differences are documented	paper/sources/table-s1.xlsx; 1_snakemake/inputs/metadata/metadata.parquet	evidence/remaining-paper-reproduction-targets.md	reproduced-with-deviation	All 966 workbook OASIS IDs and 119 blinded labels map to metadata, but tested metadata additionally has Ribociclib; Vasopressin has two IDs, one workbook name is encoding-corrupted, and 176 preferred-name labels differ
TABLE-S2	supp:table-s2	table	Cytotoxicity points of departure	Published MT, cell-count, and LDH POD results	close: schemas and semantic keys agree; coverage, median differences, validity, and material tail satisfy the existing POD gates	2_downstream_analysis/compiled_results/SI_tables	evidence/published-table-bridge.md; ../REPRODUCING.md	reproduced-with-deviation	Published workbook keys match all 796 committed semantic rows and POD values agree to spreadsheet precision; regenerated gates pass with documented drift
TABLE-S3	supp:table-s3	table	Cell Painting points of departure	Published CellProfiler, CP-CNN, and DINO POD results	close: schemas and semantic keys agree; coverage, median differences, validity, and material tail satisfy the existing POD gates	2_downstream_analysis/compiled_results/SI_tables	evidence/published-table-bridge.md; ../REPRODUCING.md	reproduced-with-deviation	Published workbook keys match all 10935 nonblank committed semantic rows and POD values agree to spreadsheet precision; regenerated gates pass with documented drift
TABLE-S4	supp:table-s4	table	Activity summary across all assays	Published cross-assay compound activity summary including the 121-compound all-POD subset	close: compound identities and main assay-activity relationships agree; small POD pass-call drift is documented	2_downstream_analysis/manuscript_notebooks/4_1_results_tables_SI.ipynb	evidence/published-table-bridge.md; ../REPRODUCING.md	reproduced-with-deviation	Published workbook matches all 1086 committed hit-summary rows; regenerated keys are exact and 1070 of 1086 complete hit calls agree
TABLE-S5	supp:table-s5	table	ToxCast activity for 2-ethylanthraquinone	Activity in 12 nuclear-receptor assays at about 1-45 uM without cytotoxicity, plus mitochondrial depolarization signal	close: same broad assay set, concentration range, and metabolic-disruption interpretation	paper/sources/table-s5.xlsx; 2_downstream_analysis/manuscript_notebooks/3_1_toxcast_endpoints.ipynb	evidence/remaining-paper-reproduction-targets.md	reproduced-with-deviation	Workbook has 12 receptor hits at 1.648-45 uM; pinned inputs retain 8 of 12, confirm zero cytotoxicity hits across 102 tests, and support MMP activity without proving directional uncoupling
TABLE-KEY-RESOURCES	main:e1-e2:key-resources-table	table	Published biological samples, reagents, deposited data, software, and equipment	All Key Resources Table rows and identifiers from the camera-ready paper	exact: resource names, versions, deposited-data paths, and identifiers agree with the published table	paper/paper.md; paper/sources/main.pdf	paper.md	reproduced	Transcribed from the camera-ready PDF
METHOD-POD	main:e4-e5:concentration-response	method	Concentration-response model and POD selection	Paper describes eight named models, residual-SD selection, DMSO 95th-percentile benchmark, and confidence-ratio and concentration filters	exact: model families and thresholds match; the known selection-rule discrepancy is explicit	1_snakemake/concresponse	evidence/method-deviations.md; ../REPRODUCING.md	reproduced-with-deviation	Morphology selects minimum residual SD; cell count, MT, and LDH use scoresPOD default rounded-AIC selection despite the paper's general residual-SD wording
METHOD-TOXCAST	main:e3-e4:toxcast-curation	method	ToxCast hit and cytotoxicity-confounding curation	Hit call > 0.9; 20 percent consensus cytotoxicity rule; AC50 comparison; minimum five positive and negative calls	exact: thresholds and decision rules match code; input-version effects are separate deviations	2_downstream_analysis/manuscript_notebooks/3_1_toxcast_endpoints.ipynb	evidence/toxcast-curation-and-figure-s3.md	reproduced-with-deviation	Core thresholds and matching rules trace exactly, but the stated specific-endpoint 100 uM reset is omitted and raw invitrodb regeneration is not repository-only executable
METHOD-CLASSIFIER	main:e4:supervised-analysis	method	Classifier validation design	XGBoost classifiers use five-fold compound-level stratified splits, published baselines, and three consensus-profile strategies	exact: splits, model family, baselines, and consensus definitions match code	1_snakemake/classifier/classify.py; 2_downstream_analysis/manuscript_notebooks	evidence/method-deviations.md	reproduced	Classifier implementation uses StratifiedKFold with five splits
METHOD-REGRESSION	main:p5:table-1; e4:supervised-analysis	method	Regression validation design	Table 1 reports ten train-test splits; regression code uses ten repeated 80/20 compound-group splits	exact: regression split count, group isolation, test fraction, and model family match Table 1; STAR Methods inconsistency is recorded	1_snakemake/classifier/regression.py	evidence/method-deviations.md	reproduced-with-deviation	Code and Table 1 use ten GroupShuffleSplit splits, while STAR Methods incorrectly states five-fold validation for all scenarios
METHOD-STATS	main:e5:quantification-and-statistics	method	Statistical thresholds and sample design	p < 0.05; FDR < 0.05; 5500 seeded cells per well; sixteen wells per compound	exact: thresholds and design constants agree	paper methods; analysis notebooks	evidence/remaining-paper-reproduction-targets.md	reproduced-with-deviation	All constants are declared and BH FDR is executable, but initial seeding is not recomputable, 0.05 gates are not centralized, and only 446 of 1,085 processed compounds retain exactly 16 rows
CONCLUSION-001	main:p1:summary; p7-p10:discussion	claim	Morphology is more sensitive than paired cytotoxicity readouts	Morphology detects more activity and at lower concentrations	qualitative: assay ordering and overall conclusion hold across reproduced counts and PODs	multiple targets above	evidence/bioactivity-and-figure-2b-d.md	reproduced-with-deviation	General-morphology detected-frequency counts exceed all cytotoxicity counts, and complete-case PODs preserve morphology > MT > cell count > LDH sensitivity despite key and pass-call drift.
CONCLUSION-002	main:p1:summary; p7-p9:results	claim	Morphology predicts cell-based but not cell-free assay activity	Cytotoxicity and targeted cell-based assays are predictable above random while cell-free assays are not	qualitative: classifier ordering and baseline comparisons support the same conclusion	multiple targets above	evidence/classifier-results.md	reproduced-with-deviation	Conclusion holds for 2/34/267/53 modeled endpoints with caption-count, test-provenance, and cell-free non-convergence caveats
CONCLUSION-003	main:p1:summary; p9:results	claim	Representations and concentration filtering do not materially change performance	CellProfiler, CP-CNN, and DINO are similar; filtering concentrations gives no practical improvement	qualitative: small numerical differences are allowed if the practical conclusion holds	multiple targets above	evidence/classifier-results.md	reproduced-with-deviation	Practical conclusion holds despite localized significance differences, CellProfiler scenario provenance, and POD-filtered numerical drift
RESOURCE-001	main:p10:resource-availability	resource	Published data and code availability statements	Cell Painting Gallery data, this analysis repository, and repository DOI are traceable	trace-only: confirm references and access locations; this is not a numerical reproduction target	paper key resources; README.md	evidence/remaining-paper-reproduction-targets.md	reproduced-with-deviation	Access classes and paths are traceable, but raw images, ignored compiled inputs and outputs, raw invitrodb, DOI resolution, and equivalence of the published owner URL to the current Broad origin remain external
INTERPRETATION-001	main:p7-p10:discussion	claim	Mechanistic interpretation of MT prediction discrepancies	CYP, neurotransmitter-receptor, metabolic, stress, and apoptosis signals motivate testable hypotheses	trace-only: preserve the distinction between enrichment evidence and mechanistic hypothesis	paper discussion and cited literature	evidence/remaining-paper-reproduction-targets.md	reproduced-with-deviation	Direct enrichment supports CYP, serotonergic, transporter, proteasome, and xenobiotic-metabolism associations; other process and receptor labels remain interpretations and all mechanism claims remain hypotheses
